City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,auki,-8.7676,160.7034,28.42,80,99,0.51,SB,1704177151
142,pucheng,27.9233,118.5333,18.27,55,50,0.58,CN,1704177153
143,aasiaat,68.7098,-52.8699,-20.88,88,63,3.96,GL,1704177154
144,mount pearl,47.5166,-52.7813,-5.02,86,75,5.14,CA,1704177154
145,pervomayskoye,43.919,46.7102,8.52,78,95,7.37,RU,1704177155
146,afaahiti,-17.75,-149.2833,26.93,83,100,4.52,PF,1704177157
147,lata,40.1629,-8.3327,12.82,81,100,2.48,PT,1704177158
148,clitheroe,53.8667,-2.4,9.74,89,100,5.78,GB,1704177158
149,tazacorte,28.629,-17.9293,18.54,87,0,4.12,ES,1704177159
150,pospelikha,51.95,81.7667,-0.5,79,93,11.03,RU,1704177160
151,port mathurin,-19.6833,63.4167,27.85,77,26,6.94,MU,1704177160
152,vernon,50.2581,-119.2691,3.34,100,100,0.51,CA,1704177161
153,longyearbyen,78.2186,15.6401,-6.09,63,40,5.14,SJ,1704177162
154,saipan,15.1355,145.701,29.39,74,20,5.66,MP,1704177162
155,hermanus,-34.4187,19.2345,23.22,68,14,4.35,ZA,1704177163
156,akrehamn,59.2667,5.1833,2.45,44,0,16.98,NO,1704177164
157,san antonio,29.4241,-98.4936,9.39,70,100,5.66,US,1704177084
158,xining,36.6167,101.7667,-0.56,30,0,1.33,CN,1704177165
159,kapa'a,22.0752,-159.319,22.18,80,75,4.63,US,1704177166
160,mingshui,36.7167,117.5,5.31,60,82,1.57,CN,1704177166
161,shiloh,38.5614,-89.8973,0.42,78,100,1.79,US,1704177167
162,santana,-0.0583,-51.1817,29.1,89,20,1.03,BR,1704177168
163,keflavik,64.0049,-22.5624,3.95,93,75,6.69,IS,1704177168
164,kodiak,57.79,-152.4072,3.73,93,100,11.32,US,1704177044
165,koryazhma,61.3143,47.1691,-35.61,99,43,1.01,RU,1704177169
166,i-n-salah,27.1935,2.4607,13.26,29,9,4.16,DZ,1704177170
167,punta arenas,-53.15,-70.9167,12.06,76,100,1.54,CL,1704177128
168,titel,45.2061,20.2944,5.08,83,72,2.82,RS,1704177171
169,champerico,14.3,-91.9167,24.79,78,0,1.22,GT,1704177172
170,ribeira grande,38.5167,-28.7,16.54,88,100,2.68,PT,1704177173
171,hays,30.0502,-98.0336,6.88,82,76,0.89,US,1704177077
172,constantia,44.1833,28.65,6.5,81,100,2.71,RO,1704177174
173,hithadhoo,-0.6,73.0833,27.86,74,60,1.99,MV,1704177175
174,east london,-33.0153,27.9116,20.52,88,100,5.66,ZA,1704177175
175,touros,-5.1989,-35.4608,25.36,85,71,2.09,BR,1704177176
176,bethanie,-26.4833,17.15,28.65,31,0,2.58,NA,1704177177
177,belmonte,-15.8631,-38.8828,24.96,85,100,3.15,BR,1704177177
178,rouyn-noranda,48.2398,-79.0288,-5.95,79,100,6.69,CA,1704176882
179,fada,9.5667,8.3,22.24,21,50,1.97,NG,1704177178
180,remire-montjoly,4.9167,-52.2667,27.02,83,75,2.06,GF,1704177179
181,san patricio,28.017,-97.5169,12.97,75,100,4.04,US,1704177180
182,polyarnyy,69.1989,33.4478,-17.64,85,100,7.98,RU,1704177180
183,nar'yan-mar,67.6713,53.087,-25.5,100,76,1.79,RU,1704177181
184,huron,41.1501,-82.5499,0.01,79,13,3.09,US,1704177182
185,portland,45.5234,-122.6762,7.25,82,100,4.92,US,1704177073
186,sampit,-2.5333,112.95,30.4,67,99,1.89,ID,1704177184
187,lihue,21.9789,-159.3672,21.77,81,75,4.63,US,1704177185
188,castillos,-34.1667,-53.8333,17.59,84,98,2.7,UY,1704177185
189,bang saphan,11.2126,99.5117,31.18,52,29,3.3,TH,1704177186
190,hadibu,12.65,54.0333,26.08,61,99,5.54,YE,1704177187
191,colchani,-20.3,-66.9333,11.93,56,100,2.21,BO,1704177187
192,nagqu,31.5,92.0,-6.59,40,35,2.49,CN,1704177188
193,undurkhaan,47.3194,110.6556,-15.55,84,2,2.33,MN,1704177189
194,zalingei,12.9096,23.4741,22.27,13,28,1.8,SD,1704177189
195,klyuchi,52.2667,79.1667,-0.22,96,100,6.86,RU,1704177191
196,pizhou,34.3114,117.9503,6.83,55,100,2.62,CN,1704177191
197,mahina,-17.5065,-149.489,27.87,74,75,1.03,PF,1704177192
198,carloforte,39.145,8.3058,13.26,75,57,4.16,IT,1704177193
199,puerto baquerizo moreno,-0.9,-89.6,24.1,89,4,3.76,EC,1704177010
200,pittsfield,42.4501,-73.2454,-4.3,83,75,5.14,US,1704177071
201,minden,52.2833,8.9167,6.12,89,100,9.26,DE,1704177195
202,luau,-10.7073,22.2247,19.3,97,100,0.47,AO,1704177195
203,tual,-5.6667,132.75,28.79,76,100,3.63,ID,1704177196
204,laibin,23.7,109.2667,18.11,83,100,4.33,CN,1704177197
205,barra dos coqueiros,-10.9089,-37.0386,27.01,78,75,1.54,BR,1704177198
206,sinabang,2.4803,96.3801,29.15,70,40,0.62,ID,1704177198
207,alvaraes,-3.2208,-64.8042,25.09,89,99,1.11,BR,1704177199
208,yorkton,51.2167,-102.4677,-2.09,80,100,5.66,CA,1704177200
209,camabatela,-8.1881,15.375,20.33,85,84,0.87,AO,1704177200
210,inarajan village,13.2736,144.7484,30.55,88,74,6.41,GU,1704177201
211,ryotsu-minato,38.0833,138.4333,7.93,70,89,3.88,JP,1704177202
212,zaozersk,69.4005,32.4476,-16.46,80,100,8.45,RU,1704177203
213,neftcala,39.3742,49.2472,10.56,80,100,2.93,AZ,1704177203
214,valdivia,-39.8142,-73.2459,9.05,84,4,0.99,CL,1704177125
215,pangody,65.85,74.4859,-30.66,94,6,4.59,RU,1704177204
216,spitak,40.8322,44.2673,-5.2,58,100,2.76,AM,1704177205
217,lompoc,34.6391,-120.4579,11.62,87,0,2.57,US,1704177012
218,afua,-0.1567,-50.3867,23.99,96,98,2.15,BR,1704177206
219,kastsyukovichy,53.3516,32.0506,-8.49,84,100,7.99,BY,1704177207
220,yeniseysk,58.4497,92.1703,-13.36,95,100,4.92,RU,1704177028
221,limoeiro do norte,-5.1456,-38.0981,24.65,88,100,1.27,BR,1704177208
222,port isabel,26.0734,-97.2086,21.02,89,75,3.09,US,1704177209
223,anapa,44.8908,37.3239,11.19,93,75,9.0,RU,1704177210
224,kihangara,-2.5833,33.35,19.17,91,100,3.06,TZ,1704177210
225,bafoulabe,13.8065,-10.8321,22.33,14,100,1.03,ML,1704177211
226,seydi,39.4816,62.9137,8.13,47,100,3.53,TM,1704177211
227,badger,64.8,-147.5333,-21.05,82,0,4.12,US,1704177212
228,rio grande,-32.035,-52.0986,22.19,87,92,5.85,BR,1704177134
229,khanty-mansiysk,61.0042,69.0019,-26.61,69,75,4.02,RU,1704177213
230,borogontsy,62.6683,131.1683,-32.62,99,97,1.57,RU,1704177214
231,alice springs,-23.7,133.8833,41.75,8,100,6.69,AU,1704177215
232,lerwick,60.1545,-1.1494,5.0,93,100,15.72,GB,1704177216
233,pariaman,-0.619,100.12,32.03,79,53,2.74,ID,1704177216
234,saint-joseph,-21.3667,55.6167,25.21,91,100,2.86,RE,1704177217
235,polewali,-3.4324,119.3435,29.56,76,100,1.39,ID,1704177218
236,prokop'yevsk,53.9059,86.719,-1.24,92,100,6.9,RU,1704177218
237,coquimbo,-29.9533,-71.3436,15.85,94,0,0.51,CL,1704177162
238,karachi,24.9056,67.0822,20.9,37,0,3.6,PK,1704177000
239,coxen hole,16.3244,-86.5366,24.6,83,75,4.12,HN,1704177220
240,east end,34.5507,-92.341,-0.4,91,14,1.48,US,1704177221
241,tura,25.5198,90.2201,24.26,36,0,1.58,IN,1704177221
242,kolonia,50.9333,6.95,10.79,93,100,5.66,DE,1704177222
243,kapuskasing,49.4169,-82.4331,-1.95,86,100,7.2,CA,1704177223
244,acarau,-2.8856,-40.12,25.67,83,100,1.9,BR,1704177224
245,nova sintra,14.8667,-24.7167,22.01,60,100,4.73,CV,1704177224
246,la passe,45.5549,-0.8967,10.13,81,100,6.49,FR,1704177225
247,urmary,55.6789,47.944,-29.57,98,80,0.65,RU,1704177226
248,peniche,39.3558,-9.3811,15.87,93,81,6.22,PT,1704177226
249,west bay,19.3667,-81.4167,24.44,81,56,0.89,KY,1704177228
250,axim,4.8699,-2.2405,26.72,79,100,2.04,GH,1704177228
251,lautoka,-17.6167,177.4667,28.92,74,40,5.14,FJ,1704177229
252,hammerfest,70.6634,23.6821,-4.75,80,75,4.12,NO,1704177230
253,ust-nera,64.5667,143.2,-42.85,98,78,1.81,RU,1704177230
254,sterling,39.0062,-77.4286,4.44,76,100,7.2,US,1704176948
255,udachny,66.4167,112.4,-32.48,99,100,2.15,RU,1704177232
256,herzogenbuchsee,47.188,7.7062,8.15,92,100,6.07,CH,1704177233
257,waddan,29.1614,16.139,13.61,48,95,2.63,LY,1704177233
258,gassol,8.5333,10.4667,24.78,20,100,2.94,NG,1704177235
259,tazovsky,67.4667,78.7,-32.42,95,6,3.82,RU,1704177235
260,pacific grove,36.6177,-121.9166,9.8,88,0,2.57,US,1704177236
261,weno,7.4515,151.8468,25.97,94,100,2.06,FM,1704177237
262,massakory,12.996,15.7293,21.82,17,100,4.87,TD,1704177237
263,pisco,-13.7,-76.2167,22.03,88,0,3.6,PE,1704177238
264,sarkand,45.41,79.9186,4.86,86,24,2.05,KZ,1704177239
265,nago,26.5881,127.9761,22.24,54,37,2.56,JP,1704177239
266,sitka,57.0531,-135.33,6.94,53,100,6.69,US,1704177240
267,antsiranana,-12.2787,49.2917,29.42,70,20,3.09,MG,1704177240
268,tapes,-30.6733,-51.3958,22.22,88,99,3.99,BR,1704177242
269,colby,39.3958,-101.0524,-2.2,89,0,2.57,US,1704177242
270,karratha,-20.7377,116.8463,32.6,43,0,9.71,AU,1704177244
271,freetown,8.484,-13.2299,24.84,94,20,1.54,SL,1704177245
272,vilhena,-12.7406,-60.1458,20.88,89,94,1.08,BR,1704177245
273,colonia,50.9333,6.95,10.79,93,100,5.66,DE,1704177176
274,tralee,52.2704,-9.7026,8.94,96,100,1.75,IE,1704177247
275,usinsk,65.9939,57.5281,-31.07,99,6,2.24,RU,1704177247
276,aykhal,66.0,111.5,-31.74,99,100,2.46,RU,1704177249
277,bamboo flat,11.7,92.7167,30.05,70,20,5.14,IN,1704177250
278,mar del plata,-38.0023,-57.5575,19.37,83,10,0.89,AR,1704177231
279,kolonia town,6.964,158.206,30.0,74,40,3.09,FM,1704177251
280,astara,38.5,48.6667,2.39,67,42,1.3,AZ,1704177252
281,tidjikja,18.5564,-11.4271,18.98,13,100,5.3,MR,1704177252
282,petatlan,17.5167,-101.2667,21.97,70,6,1.48,MX,1704177253
283,sijunjung,-0.6876,100.9537,28.86,81,85,1.56,ID,1704177254
284,el-tor,28.2364,33.6254,19.08,45,0,7.72,EG,1704177254
285,vanino,49.0869,140.2543,-10.04,89,100,1.39,RU,1704177255
286,tecpan de galeana,17.25,-100.6833,20.71,68,3,2.0,MX,1704177256
287,crane,31.3974,-102.3501,6.49,56,100,4.58,US,1704177257
288,kavaratti,10.5669,72.642,27.43,75,88,4.06,IN,1704177258
289,zaysan,47.4667,84.8667,-1.92,88,83,1.42,KZ,1704177258
290,mandi bahauddin,32.5834,73.4843,20.31,19,0,1.48,PK,1704177259
291,hasaki,35.7333,140.8333,11.27,62,100,3.39,JP,1704177259
292,singaraja,-8.112,115.0882,30.23,74,90,1.28,ID,1704177260
293,vangaindrano,-23.35,47.6,24.39,91,100,5.55,MG,1704177261
294,egilsstadir,65.2653,-14.3948,4.95,81,75,2.57,IS,1704177261
295,qurayyat,31.3318,37.3428,8.1,76,20,0.0,SA,1704177262
296,san jose del cabo,23.0589,-109.6977,22.08,86,100,0.45,MX,1704177263
297,bismarck,46.8083,-100.7837,0.91,86,0,4.63,US,1704177038
298,sao joao da barra,-21.6403,-41.0511,21.74,90,100,2.37,BR,1704177264
299,yeppoon,-23.1333,150.7333,32.88,69,18,3.72,AU,1704177265
300,calama,-22.4667,-68.9333,10.27,53,0,4.63,CL,1704177165
301,kasongo,-4.45,26.6667,23.44,83,100,1.5,CD,1704177266
302,abu jibeha,11.4562,31.2285,25.74,20,29,4.64,SD,1704177267
303,rikaze,29.25,88.8833,2.96,11,0,2.1,CN,1704177268
304,port shepstone,-30.7414,30.455,21.6,76,100,4.17,ZA,1704177268
305,tosontsengel,48.7567,98.2839,-14.92,80,10,0.77,MN,1704177269
306,kurchatov,51.6601,35.6521,0.79,100,100,2.16,RU,1704177270
307,kayangel,8.0823,134.7173,28.91,72,31,2.7,PW,1704177271
